#OTU ID	CZ.MB96	CZ.MB83	CZ.MB119	CZ.MB43	CZ.MB9	CZ.MB14	CZ.MB84	CZ.MB97	CZ.MB3	CZ.MB106	CZ.MB76	CZ.MB18	CZ.MB38	CZ.MB125	CZ.MB12	CZ.MB117	CZ.MB121	CZ.MB11	CZ.MB56	CZ.MB67	CZ.MB134	CZ.MB129	CZ.MB82	CZ.MB33	CZ.MB10	CZ.MB91	CZ.MB13	CZ.MB87	CZ.MB112	CZ.MB90	CZ.MB57	CZ.MB89	CZ.MB75	CZ.MB132	CZ.MB19	CZ.MB80	CZ.MB31	CZ.MB105	CZ.MB108	CZ.MB79	CZ.MB93	CZ.MB70	CZ.MB42	CZ.MB20	CZ.MB69	CZ.MB122	CZ.MB118	CZ.MB113	CZ.MB27	CZ.MB136	CZ.MB124	CZ.MB39	CZ.MB7	CZ.MB29	CZ.MB16	CZ.MB86	CZ.MB126	CZ.MB58	CZ.MB44	CZ.MB102	CZ.MB34	CZ.MB135	CZ.MB99	CZ.MB60	CZ.MB92	CZ.MB114	CZ.MB71	CZ.MB68	CZ.MB45	CZ.MB59	CZ.MB130	CZ.MB77	CZ.MB116	CZ.MB40	CZ.MB17	CZ.MB123	CZ.MB23	CZ.MB24	CZ.MB94	CZ.MB5	CZ.MB2	CZ.MB22	CZ.MB128	CZ.MB30	CZ.MB35	CZ.MB115	CZ.MB104	CZ.MB54	CZ.MB107	CZ.MB103	CZ.MB78	CZ.MB53	CZ.MB55	CZ.MB41	CZ.MB32	CZ.MB64	CZ.MB85	CZ.MB95	CZ.MB133	CZ.MB66	CZ.MB61	CZ.MB73	CZ.MB110	CZ.MB4	CZ.MB37	CZ.MB65	CZ.MB100	CZ.MB50	CZ.MB88	CZ.MB111	CZ.MB28	CZ.MB109	CZ.MB8	CZ.MB25	CZ.MB36	CZ.MB26	CZ.MB120	CZ.MB63	CZ.MB6	CZ.MB98	CZ.MB21	CZ.MB62	CZ.MB52	CZ.MB127	CZ.MB46	CZ.MB49	CZ.MB47	CZ.MB72	CZ.MB48	CZ.MB101	CZ.MB131	CZ.MB51	CZ.MB1	CZ.MB81
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hespellia	39	31	7	27	136	8	103	64	99	52	17	72	36	13	30	5	47	12	44	7	43	2	184	17	5	43	8	8	76	23	12	54	3	48	46	152	59	74	138	38	82	75	38	22	17	12	0	42	289	12	25	55	30	29	6	33	0	85	2	52	49	28	14	39	27	29	52	39	36	53	8	49	7	2	7	45	0	7	7	4	2027	1	11	45	34	52	252	16	21	117	36	66	81	27	30	24	15	5	12	7	120	33	123	21	27	11	7	34	84	23	68	18	0	2	3	31	5	81	7	14	6	58	348	17	5	2	28	0	11	0	10	283	81	79
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Herbinix	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium	0	9	0	0	0	1	27	0	12	1	0	0	11	0	3	0	1	2	0	0	0	0	3	0	0	5	0	0	1	0	0	3	0	1	0	1	2	21	2	0	9	1	0	0	1	0	0	6	0	0	0	23	1	3	0	0	0	0	0	13	0	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	16	24	5	0	2	0	7	1	0	0	0	0	0	0	0	9	0	0	4	0	0	0	2	0	8	45	0	0	0	0	71	0	39	2	0	0	8	6	0	0	0	0	0	0	0	0	1	4	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoanaerobaculum	4	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	5	0	0	0	0	0	2	0	0	0	0	3	4	6	0	1	1	0	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	2	2	0	0	0	0	1	0	0	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hespellia;s__Hespellia_porcina	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Murimonas	79	8	2	16	8	6	39	30	3	20	0	66	8	1	21	8	67	1	0	4	4	2	5	71	0	20	1	17	22	6	65	8	0	20	33	103	0	40	3	1	18	47	30	5	21	7	0	29	3	3	0	24	1	4	4	1	1	6	0	10	9	0	1	8	3	41	0	25	0	5	1	1	5	2	6	13	0	0	3	0	0	0	1	10	2	26	3	6	12	2	1	14	3	5	4	4	13	5	0	2	37	1	5	14	20	14	0	19	10	5	1	59	4	1	6	28	2	30	1	0	0	22	1	1	0	0	1	0	0	0	0	2	10	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	23	4	8	29	15	2	14	27	0	5	0	96	20	0	18	55	70	2	0	11	14	1	0	49	0	16	1	26	7	11	49	11	0	5	72	133	0	7	3	0	38	75	20	2	25	16	2	18	2	1	1	14	2	0	9	0	0	17	0	14	17	0	0	28	9	15	1	39	0	3	2	0	1	20	9	5	0	0	3	0	3	0	0	7	3	20	4	1	2	2	0	3	3	24	1	4	4	3	0	4	70	1	14	5	15	63	0	10	17	2	1	38	4	0	2	11	2	108	1	0	0	38	3	0	2	0	1	0	0	0	0	2	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_glycyrrhizinilyticum	0	29	0	2	55	0	309	2	0	222	0	12	0	1	0	0	3	0	6	0	4	1	0	3	0	2	0	3	0	0	3	0	0	164	15	1	7	11	2	0	1	14	9	0	1	1	0	0	0	1	3	0	15	2	0	10	0	305	13	0	38	18	3	0	3	22	0	3	8	0	31	5	0	0	1	0	4	0	1	0	0	3	2	268	0	0	0	4	5	0	38	73	1	1	2	2	5	0	2	0	0	4	1	2	0	0	0	0	52	0	0	4	1	0	0	0	0	0	6	1	16	2	0	2	1	0	6	8	8	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_fimetarium	5	0	1	62	2	0	0	47	0	0	0	12	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	48	29	0	5	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_citroniae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_aldenense	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_aerotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_saccharolyticum	23	137	0	3	0	0	0	9	0	0	0	4	0	0	1	4	4	0	12	0	0	0	1	0	0	3	0	2	3	0	0	0	0	0	1	0	13	84	3	0	0	7	2	0	7	0	0	3	0	0	0	0	4	300	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	8	1	0	0	14	14	0	0	135	3	0	6	0	89	0	0	0	3	0	0	150	0	12	0	2	0	0	3	0	0	0	1	4	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_indolis	251	0	2	127	0	0	2	217	0	0	0	99	5	0	1	1	59	1	4	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	204	0	1	0	0	9	0	399	230	0	150	137	1	32	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	2	0	1	3	0	7	1	0	1	24	0	0	0	12	0	0	0	1	0	0	5	0	0	6	0	0	2	0	0	0	4	0	0	0	0	0	0	0	4	2	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_hylemonae	8	0	0	0	0	0	0	3	0	0	0	3	4	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_oroticum	2	3	1	5	18	4	3	1	0	6	0	7	7	1	25	0	2	3	19	0	0	2	3	5	4	135	0	6	23	21	6	43	0	3	2	3	7	3	7	0	65	21	14	6	4	1	0	74	0	0	0	20	2	1	3	3	0	25	3	1	6	5	2	45	3	6	3	5	7	69	1	6	0	0	2	4	0	1	0	4	0	1	0	6	65	53	0	1	3	0	7	5	10	0	2	1	6	0	0	0	475	5	32	2	82	0	2	1	12	30	1	18	0	0	10	6	0	101	3	1	5	14	0	6	0	0	4	0	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_populeti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	71	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	45	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Eubacterium]_contortum	75	1	0	14	0	1	0	16	0	0	6	0	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	1	0	4	2	42	56	0	60	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_symbiosum	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	2	0	0	0	0	53	27	0	50	24	0	1	1	0	68	0	0	10	5	0	0	0	0	1	286	43	1	4	244	87	0	10	0	15	0	32	0	1	0	0	199	3	2	2	0	0	0	1	2	0	0	0	11	0	0	32	3	0	0	0	0	0	2	71	12	3	0	20	3	4	0	0	0	0	0	0	2	0	3	5	0	0	0	11	0	1	1	10	0	0	0	4	0	3	0	1	0	1	0	0	4	0	0	0	2	1	0	0	0	0	5	0	1	0	5	1	0	3	0	0	0	3	1	0	0	0	1	0	0	0	0	0	1	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Eubacterium]_fissicatena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira_pectinoschiza	0	0	0	0	1	31	1	0	16	2	0	0	0	0	3	0	0	0	7	0	0	0	2	0	474	39	0	1	3	41	0	0	0	0	0	64	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	2	0	0	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	1	1	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Mobilitalea	2	0	2	21	0	0	0	1	0	0	0	1	3	0	8	1	2	39	0	0	6	0	8	0	1	1226	21	1	0	7	0	40	0	0	0	10	0	0	0	0	5	3	4	1	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	0	6	0	3	0	0	0	0	0	0	39	0	0	0	1	0	7	1	0	1	0	0	0	0	0	92	5	4	3	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia_formatexigens	2	0	0	2	1	1	3	2	0	0	0	4	1	0	0	0	12	1	0	0	3	0	0	14	0	2	1	5	0	0	12	0	0	1	10	14	0	0	0	0	1	18	28	0	3	12	0	1	0	0	0	4	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	1	2	0	0	0	1	1	0	9	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Muricomes	136	4	13	138	17	22	32	68	0	9	39	70	9	23	5	14	106	11	6	8	5	25	5	18	12	28	5	6	35	26	17	43	1	12	113	55	15	2	77	2	76	163	106	78	131	23	6	16	6	8	69	68	20	0	2	116	11	7	5	1	6	5	70	16	15	28	19	21	42	70	89	113	6	4	5	180	12	0	6	0	11	0	38	33	23	119	4	3	2	17	246	2	2	17	8	10	7	1	5	3	38	23	7	0	4	16	27	7	4	5	2	0	1	0	3	14	11	163	0	13	1	96	4	32	0	0	119	1	109	2	2	4	10	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Muricomes;s__Muricomes_intestini	15	0	0	8	2	1	0	6	0	0	0	36	1	0	0	2	37	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	37	0	2	0	0	0	2	24	2	0	2	5	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	150	184	0	64	40	12	119	27	12	58	1	123	2	0	74	6	88	0	40	0	0	0	104	224	0	114	0	262	111	5	525	8	0	21	43	81	70	130	147	1	135	26	36	4	58	41	0	103	18	102	1	483	43	203	0	19	0	3	1	72	3	0	0	29	71	18	32	5	2	7	0	0	0	0	0	110	0	0	0	5	18	0	4	28	0	92	27	5	39	13	0	115	53	2	79	0	101	0	35	0	167	2	3	183	136	0	0	61	19	17	0	649	43	1	152	149	0	97	7	0	0	66	43	1	0	0	0	1	0	3	0	129	47	70
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	1	0	13	0	1	12	54	1	6	12	0	0	8	3	12	0	0	27	6	3	0	0	11	27	19	74	17	25	42	45	20	13	0	31	1	175	0	0	0	0	53	2	0	26	0	0	2	14	9	6	18	1	2	0	2	3	0	5	2	15	1	13	38	32	62	33	1	3	53	5	0	1	31	0	14	14	4	0	13	0	0	0	5	14	5	21	7	5	1	0	0	0	4	2	2	15	8	9	1	1	21	16	3	0	1	0	42	0	0	7	2	24	4	0	3	15	0	26	0	1	24	8	7	11	0	0	0	2	0	0	0	0	16	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium	3	146	159	0	1074	76	1735	0	55	498	96	0	122	185	70	3	0	155	309	34	1548	141	158	211	78	615	113	617	243	674	348	1106	13	335	2	1638	335	66	777	1	883	0	1	1655	0	0	42	96	258	314	157	209	437	217	89	82	210	1053	257	168	358	188	460	133	317	55	951	110	275	7	77	337	697	2	101	1789	114	179	385	76	62	87	365	985	96	88	169	101	59	134	274	75	324	216	256	182	222	141	43	57	42	375	1068	220	41	2	359	82	939	126	94	691	109	0	85	817	481	79	361	176	189	32	243	245	674	0	751	239	322	0	0	63	316	23
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Murimonas;s__Murimonas_intestini	16	15	4	4	2	3	32	10	0	7	1	27	3	0	16	6	18	0	0	19	2	0	0	15	0	19	0	2	4	2	15	8	0	15	15	80	0	26	0	0	7	22	6	1	2	9	3	26	0	0	0	2	1	5	8	0	0	3	0	3	1	0	0	4	6	26	1	23	0	4	0	1	2	18	13	5	0	0	1	0	1	0	0	23	4	16	1	12	6	4	0	15	0	9	0	9	7	4	0	5	29	0	1	8	27	24	0	19	2	2	1	4	2	0	7	27	0	11	1	1	0	15	0	0	0	0	0	0	0	0	0	3	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Parasporobacterium	46	39	131	64	25	36	132	193	107	28	65	60	64	0	61	188	43	16	47	234	4	0	31	15	35	242	5	3	36	10	10	15	0	20	160	183	13	17	5	1	352	132	8	0	0	158	249	46	108	0	0	45	13	9	232	7	0	48	1	23	1	3	0	55	80	16	1	328	0	16	0	0	30	44	173	1	0	0	21	0	4	2	0	299	13	69	27	44	87	24	3	38	30	163	12	33	241	336	5	514	63	0	0	29	5	96	1	6	10	59	71	17	1	1	10	51	1	93	41	1	2	91	38	1	0	0	0	0	1	0	0	20	34	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Parasporobacterium;s__Parasporobacterium_paucivorans	0	26	204	1	19	0	52	0	78	2	0	0	23	0	17	228	0	2	35	347	5	0	2	14	2	153	6	4	39	8	5	5	0	3	0	79	23	8	7	0	276	0	0	0	0	0	421	8	98	0	0	11	14	15	350	0	0	50	0	18	0	0	0	7	47	9	0	493	0	16	0	0	25	36	269	0	0	0	32	0	0	0	0	360	5	6	16	53	28	22	1	31	36	243	0	32	130	422	2	932	24	0	1	36	0	120	0	6	2	23	93	9	1	0	9	39	3	6	40	0	0	17	28	0	0	0	0	0	0	0	0	5	31	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio_ruminis	0	0	12	0	7	4	51	0	5	18	0	0	8	6	6	0	0	15	8	0	0	0	3	26	16	33	6	11	15	19	11	12	0	22	0	240	0	0	0	0	38	0	0	23	0	0	0	5	2	2	15	0	1	0	0	3	0	6	2	20	1	8	36	22	43	9	1	0	37	3	0	0	21	0	10	8	1	0	9	0	1	0	4	6	1	4	5	1	1	0	0	1	5	0	0	6	3	6	0	1	15	22	3	0	0	0	29	5	0	0	1	8	3	0	6	9	0	12	0	0	32	7	8	12	0	0	0	1	0	0	0	0	26	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella;s__Robinsoniella_peoriensis	1	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	2	2	0	1	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	4	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	856	56	170	333	336	785	1049	1336	221	515	7170	692	1904	263	200	83	326	967	262	23	824	31	193	31	572	1345	683	52	10708	13900	22	13973	90	865	430	2137	1287	79	709	2	29284	8154	950	2664	2701	1055	122	531	104	4925	3672	2339	394	85	186	449	83	454	620	187	520	3481	1968	931	4310	919	3246	84	3807	434	1292	10332	368	69	22	7644	76	1	701	5	40	388	32	690	987	6514	192	13	16	34	6011	36	668	109	556	307	221	226	88	116	81	4740	201	169	96	100	1764	48	74	7002	144	73	37	0	1247	378	150	1303	153	4018	76	822	52	699	0	1	1426	557	637	2	0	23	664	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_intestinalis	35	1	1	46	4	0	24	75	2	40	39	32	76	0	3	0	54	2	9	0	4	12	3	3	2	12	0	3	9	0	11	0	0	16	61	6	3	0	0	14	3	67	50	1	104	25	0	8	1	0	0	0	29	0	0	1	0	6	0	0	0	2	1	3	11	0	2	4	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	2	0	1	2	0	0	0	1	5	0	2	0	7	0	0	0	0	2	0	5	2	0	8	4	0	3	0	0	1	5	0	0	0	2	0	0	0	0	4	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_hominis	1	2	0	1	4	1	31	1	20	4	15	0	1	0	0	0	0	0	42	0	2	327	4	0	0	0	0	0	0	0	0	0	0	7	0	30	3	0	3	2	0	2	0	21	2	0	0	0	5	2	0	0	20	2	0	7	0	11	0	6	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	8	0	0	2	2	0	4	0	6	11	0	4	0	2	0	0	0	0	0	14	1	0	0	0	2	1	0	8	0	0	0	0	20	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	5	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_faecis	270	17	57	156	372	578	494	423	107	60	42	25	2	57	315	43	19	11	51	15	187	820	67	156	92	748	1	31	16	7	51	34	6	62	288	314	41	12	17	1	3157	1564	147	213	130	96	7	28	112	25	9	17	1148	10	5	27	66	1032	112	28	739	31	122	5	62	2	56	5	70	4	11	0	140	43	31	7	160	0	112	0	13	41	89	221	5	10	40	47	5	36	7	16	32	30	22	73	24	329	55	33	28	155	259	9	31	234	144	16	46	21	68	35	3	0	0	91	2	20	2	1	110	16	55	2	0	0	1	30	24	0	0	12	28	3
