#OTU ID	CZ.MB96.S96.L001.	CZ.MB83.S83.L001.	CZ.MB119.S119.L001.	CZ.MB43.S43.L001.	CZ.MB9.S9.L001.	CZ.MB14.S14.L001.	CZ.MB84.S84.L001.	SZ.SC4.S140.L001.	CZ.MB97.S97.L001.	CZ.MB3.S3.L001.	CZ.MB106.S106.L001.	CZ.MB76.S76.L001.	CZ.MB18.S18.L001.	CZ.MB38.S38.L001.	SZ.SC2.S138.L001.	CZ.MB125.S125.L001.	CZ.MB12.S12.L001.	CZ.MB117.S117.L001.	CZ.MB121.S121.L001.	CZ.MB11.S11.L001.	CZ.MB56.S56.L001.	CZ.MB67.S67.L001.	CZ.MB134.S134.L001.	CZ.MB129.S129.L001.	CZ.MB82.S82.L001.	CZ.MB33.S33.L001.	CZ.MB10.S10.L001.	CZ.MB91.S91.L001.	CZ.MB13.S13.L001.	CZ.MB87.S87.L001.	CZ.MB112.S112.L001.	CZ.MB90.S90.L001.	CZ.MB57.S57.L001.	CZ.MB89.S89.L001.	CZ.MB75.S75.L001.	CZ.MB132.S132.L001.	CZ.MB19.S19.L001.	CZ.MB80.S80.L001.	CZ.MB31.S31.L001.	CZ.MB105.S105.L001.	CZ.MB108.S108.L001.	CZ.MB79.S79.L001.	CZ.MB93.S93.L001.	SZ.SC5.S141.L001.	CZ.MB70.S70.L001.	CZ.MB42.S42.L001.	CZ.MB20.S20.L001.	CZ.MB69.S69.L001.	CZ.MB122.S122.L001.	CZ.MB118.S118.L001.	CZ.MB113.S113.L001.	SZ.SC7.S143.L001.	CZ.MB27.S27.L001.	CZ.MB136.S136.L001.	CZ.MB124.S124.L001.	CZ.MB39.S39.L001.	CZ.MB7.S7.L001.	CZ.MB29.S29.L001.	CZ.MB16.S16.L001.	CZ.MB86.S86.L001.	CZ.MB126.S126.L001.	CZ.MB58.S58.L001.	CZ.MB44.S44.L001.	CZ.MB102.S102.L001.	CZ.MB34.S34.L001.	SZ.SC3.S139.L001.	CZ.MB135.S135.L001.	CZ.MB99.S99.L001.	CZ.MB60.S60.L001.	CZ.MB92.S92.L001.	CZ.MB114.S114.L001.	CZ.MB71.S71.L001.	CZ.MB68.S68.L001.	CZ.MB45.S45.L001.	CZ.MB59.S59.L001.	CZ.MB130.S130.L001.	CZ.MB77.S77.L001.	CZ.MB116.S116.L001.	CZ.MB40.S40.L001.	CZ.MB17.S17.L001.	CZ.MB123.S123.L001.	CZ.MB23.S23.L001.	CZ.MB24.S24.L001.	CZ.MB94.S94.L001.	CZ.MB5.S5.L001.	CZ.MB2.S2.L001.	CZ.MB22.S22.L001.	CZ.MB128.S128.L001.	CZ.MB30.S30.L001.	CZ.MB35.S35.L001.	CZ.MB115.S115.L001.	CZ.MB104.S104.L001.	CZ.MB54.S54.L001.	CZ.MB107.S107.L001.	CZ.MB103.S103.L001.	CZ.MB78.S78.L001.	CZ.MB53.S53.L001.	CZ.MB55.S55.L001.	CZ.MB41.S41.L001.	CZ.MB32.S32.L001.	CZ.MB64.S64.L001.	CZ.MB85.S85.L001.	CZ.MB95.S95.L001.	CZ.MB133.S133.L001.	CZ.MB66.S66.L001.	CZ.MB61.S61.L001.	CZ.MB73.S73.L001.	CZ.MB110.S110.L001.	CZ.MB4.S4.L001.	CZ.MB37.S37.L001.	CZ.MB65.S65.L001.	CZ.MB100.S100.L001.	CZ.MB50.S50.L001.	CZ.MB88.S88.L001.	CZ.MB111.S111.L001.	CZ.MB28.S28.L001.	CZ.MB109.S109.L001.	CZ.MB8.S8.L001.	CZ.MB25.S25.L001.	SZ.SC6.S142.L001.	CZ.MB36.S36.L001.	CZ.MB26.S26.L001.	CZ.MB120.S120.L001.	CZ.MB63.S63.L001.	CZ.MB6.S6.L001.	CZ.MB98.S98.L001.	CZ.MB21.S21.L001.	CZ.MB62.S62.L001.	CZ.MB52.S52.L001.	CZ.MB127.S127.L001.	CZ.MB46.S46.L001.	CZ.MB49.S49.L001.	CZ.MB47.S47.L001.	CZ.MB72.S72.L001.	CZ.MB48.S48.L001.	CZ.MB101.S101.L001.	CZ.MB131.S131.L001.	SZ.SC1.S137.L001.	CZ.MB51.S51.L001.	CZ.MB1.S1.L001.	CZ.MB81.S81.L001.	CZ.MB15.S15.L001.
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter	0	218	0	1	2	0	505	0	0	0	732	0	1	0	28	1	0	0	0	0	389	0	0	0	7	7	0	0	0	8	0	0	1	0	2	932	0	0	197	863	394	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	66	174	0	170	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	295	0	1	0	119	0	2	0	234	143	0	0	289	489	0	312	0	187	1	38	0	0	0	0	279	0	0	0	0	0	0	0	7	4	0	0	0	0	0	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter_bartlettii	0	101	0	0	24	0	399	0	1	13	400	0	0	1	0	0	0	0	0	0	555	0	1	1	546	440	0	0	0	1421	0	0	634	0	0	758	0	0	291	268	454	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	115	81	0	316	0	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	294	9	0	0	441	0	0	6	152	295	1	0	78	338	0	248	0	137	0	26	0	0	0	98	116	0	0	0	0	17	0	1	2699	86	0	0	0	0	0	0	136	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	9	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	0	36	0	0	0	0	113	0	0	0	75	0	0	1	0	0	0	0	0	1	176	0	0	0	0	0	0	0	0	0	0	0	1	0	0	185	0	0	114	118	498	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0	22	18	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	16	0	0	0	32	0	0	2	33	39	0	0	28	264	1	212	0	198	0	25	0	0	0	0	48	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	1	0	0	3	0	0	0	8	3	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium_bifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paeniclostridium;s__[Eubacterium]_tenue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus_canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Proteocatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_sedimentorum	0	56	0	0	0	0	129	0	0	0	180	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	1	0	0	0	0	0	0	1	222	0	0	239	63	1340	9	24	0	0	0	0	1	0	0	2	0	0	0	0	0	61	8	0	97	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	1	0	0	0	75	40	1	0	48	802	1	209	0	91	0	65	0	0	0	0	18	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	1	0	3	0	0	0	4	4	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_lituseburensis;t__Romboutsia_lituseburensis_DSM_797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_timonensis	0	100	0	0	0	0	316	0	0	0	216	0	0	0	0	0	0	0	0	0	247	0	0	0	1	0	0	0	0	0	0	0	0	0	0	487	0	0	195	313	430	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	61	0	107	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	88	0	0	0	142	0	0	19	134	85	0	0	102	261	1	284	0	701	0	25	0	0	0	0	69	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	15	0	0	1	2	0	0	10	0	0	0	35	28	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter_petrolearius	1	684	0	0	24	0	2172	0	0	0	2594	0	0	0	130	0	0	0	0	0	1256	0	0	0	1	15	1	5	0	9	0	0	5	0	1	3843	0	0	588	2280	1193	7	4	0	0	0	0	0	0	0	0	15	0	0	0	0	157	642	1	543	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1077	0	0	0	553	1	0	1	748	434	0	0	942	1820	0	476	0	680	0	89	0	4	0	1	761	0	0	0	0	1	0	0	20	15	0	0	0	0	0	1	196	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetivibrio	13	3	0	11	5	0	10	1	8	9	6	2	7	3	3	1	4	0	49	6	5	1	3	0	4	2	3	10	4	5	9	12	6	11	0	9	19	18	8	1	5	8	18	0	34	66	2	3	8	2	5	1	9	5	1	3	60	2	0	2	0	64	0	3	42	0	0	0	10	19	3	2	91	0	1	0	0	1	1	1	0	0	0	4	1	3	0	3	17	1	15	1	8	0	8	0	2	3	4	7	14	5	3	1	0	21	0	4	2	2	0	1	4	9	6	2	1	0	0	0	4	3	0	14	5	0	0	11	7	0	0	3	0	1	0	0	8	0	2	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetanaerobacterium	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	1	0	0	1	2	0	0	0	0	0	0	3	1	0	0	0	3	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetivibrio;s__Acetivibrio_ethanolgignens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Drancourtella	2	0	0	4	0	7	0	0	2	0	0	0	6	156	0	0	9	0	2	108	0	0	0	0	0	0	2	68	55	0	40	15	0	9	0	0	8	0	0	0	0	1	154	0	4	4	1	2	3	0	24	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	0	22	9	7	0	3	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	6	116	0	0	0	0	27	0	0	0	0	0	1	1	1	0	223	0	0	0	28	0	0	0	0	6	0	1	0	0	0	11	2	0	137	0	0	0	301	0	0	0	0	4	0	1	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	8	43	2	5	3	1	4	0	11	35	1	0	2	2	0	0	4	2	3	2	39	0	3	0	86	1	1	7	1	24	4	1	10	4	0	0	3	31	14	18	9	36	13	0	5	4	0	2	0	0	2	0	28	0	0	7	7	50	1	9	0	6	0	78	0	0	0	0	1	1	0	0	4	2	0	3	2	0	2	0	0	0	0	0	2	61	0	0	2	0	3	56	8	6	20	3	22	34	2	27	1	52	0	1	0	2	0	8	45	3	1	0	16	4	3	27	16	3	3	0	0	38	0	5	12	0	0	2	144	0	0	2	1	0	0	6	5	1	42	35	32	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum	5	0	1	1	0	0	0	0	4	0	0	1	12	10	0	0	1	6	4	0	0	0	0	0	0	1	0	10	0	2	4	3	0	4	0	1	4	0	0	0	0	9	16	0	10	2	0	5	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	5	0	0	1	0	1	0	0	0	0	5	0	0	0	1	2	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerobacterium	0	10	0	0	0	0	90	0	0	8	12	0	0	2	0	0	0	0	3	0	2	0	0	0	11	0	0	0	0	3	0	0	0	0	0	5	0	31	1	16	1	2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	34	0	0	0	0	0	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	60	0	2	7	8	8	11	0	4	0	0	0	0	13	0	0	0	0	0	1	8	0	0	0	18	0	1	9	0	0	0	0	0	12	0	13	6	0	0	1	31	0	0	0	0	0	0	0	0	0	37	20	14	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter;s__Acutalibacter_muris	0	2	0	0	85	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	13	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	8	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	0	2	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	7	0	1	5	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaeromassilibacillus	0	0	1	3	1	0	0	0	3	0	0	0	2	2	0	0	1	0	4	1	0	0	0	0	1	4	0	0	2	6	1	0	1	2	0	0	3	0	0	0	0	2	0	0	10	1	0	0	1	0	0	0	0	0	0	0	1	6	0	1	0	4	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	6	0	0	1	2	0	9	0	0	1	0	2	0	3	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Caproiciproducens	1	0	0	0	0	0	0	0	1	27	0	0	1	0	0	0	0	0	2	0	4	0	1	1	12	0	2	0	0	2	0	1	0	1	0	0	9	13	3	4	0	3	6	0	5	1	0	0	0	0	1	1	1	0	0	14	4	1	0	1	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	17	2	3	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	2	18	3	0	0	0	2	3	1	2	0	0	0	0	7	0	0	0	0	0	0	0	4	7	0	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Drancourtella;s__Drancourtella_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ethanoligenens	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_formicilis	246	40	0	138	231	161	1182	0	309	148	1248	217	344	784	0	368	328	0	384	187	452	1	747	67	251	18	53	1049	147	182	1175	554	49	1050	21	630	681	559	261	40	61	1	4277	0	2406	34	674	53	531	0	706	0	490	217	567	1283	72	14	0	252	91	416	90	111	166	0	332	236	712	450	592	578	0	193	388	0	0	0	0	2	1013	16	113	1	11	106	84	69	512	363	2431	865	29	17	347	0	53	503	1	128	0	19	1	21	0	1217	287	1226	8	903	0	234	28	139	469	298	229	4	0	0	561	722	0	2804	1	257	156	1317	302	290	229	0	0	134	0	0	0	0	90	224	23	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger	67	9	0	37	133	32	277	1	77	71	318	35	89	192	1	101	72	0	108	45	101	0	261	16	162	7	10	211	22	42	301	124	12	222	1	168	122	569	109	20	42	7	862	3	468	8	130	9	117	0	189	0	115	33	130	281	46	8	1	82	13	197	25	33	126	0	81	46	168	90	150	125	0	49	91	1	2	2	0	0	199	6	16	1	7	41	15	6	146	59	555	257	2	13	101	1	20	154	0	56	2	50	0	16	0	287	53	274	1	202	0	46	15	50	113	64	71	2	0	0	122	188	1	577	24	44	43	308	77	73	30	0	1	20	0	1	1	1	51	106	24	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	72	1276	76	268	34	44	232	10	402	459	147	28	123	1772	106	1	614	90	160	167	681	47	18	1	241	123	23	703	113	432	191	143	115	160	1	77	280	287	240	841	412	1184	380	16	496	160	42	170	112	98	421	23	234	22	1	5534	946	539	11	176	0	175	0	231	77	28	2	4	152	99	124	10	796	1	269	25	30	125	26	148	35	0	0	162	27	580	1	1	611	2301	424	186	113	222	123	136	995	497	530	155	252	981	23	133	17	973	0	52	411	323	59	0	67	124	126	133	539	52	55	0	66	115	240	395	286	0	0	202	155	0	1	95	2	0	9	158	358	6	528	104	1168	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Neglecta	282	20	1	139	820	6	18	0	134	5	15	0	387	220	0	0	11	0	361	45	10	0	208	0	31	322	7	51	53	397	5	4	267	19	0	3	82	205	17	19	24	63	102	1	197	338	3	180	57	0	78	0	2	0	0	55	34	13	1	42	1	4584	2	109	1923	0	1	2	3	47	117	1	0	0	10	0	2	0	0	0	5	0	0	1	4	0	0	0	12	11	106	27	0	3	3	0	17	40	1	12	0	16	0	12	0	105	0	5941	13	46	0	0	17	3967	12	5	164	45	2	0	2	88	0	82	6	1	0	197	12	0	0	6	0	1	0	19	31	0	0	54	3	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium	0	1	0	0	0	3	4	0	0	0	0	0	0	4	2	0	0	0	0	1	5	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	4	1	0	0	3	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	1	0	1	1	8	0	1	0	4	0	0	0	2	0	0	4	2	0	0	0	0	5	2	0	0	0	0	0	0	0	2	6	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Papillibacter	66	44	19	29	50	7	34	1	39	34	21	2	29	36	4	0	26	11	77	24	62	18	6	0	42	34	3	39	10	45	60	21	79	22	0	26	28	90	70	39	72	88	101	2	106	44	3	27	18	6	66	1	46	0	0	65	33	56	13	6	0	41	0	49	17	1	0	0	32	12	26	4	29	0	13	2	1	4	17	22	3	0	0	12	4	34	0	0	30	29	85	52	13	15	41	2	47	74	13	36	20	92	6	4	5	76	0	11	63	44	42	0	9	40	21	16	85	12	4	0	9	21	1	109	18	0	0	85	51	2	0	1	0	0	0	23	17	0	61	29	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Neglecta;s__Neglecta_timonensis	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
